FILENAME;\Hard Disk2\Result\LaHe_ShakerSteps_20181108_160720.csv
PROTOCOL;LaHe_ShakerSteps
FILE_VERSION;3.3;
DATE START;2018-11-08;16:07:04
DATE END;2018-11-09;08:22:03;;Last Reading;140;Timestamp;1243130107                      
DEVICE;CX_0096A9B
USER;LaHe;COMMENT;no comment available
PLATETYPE;MTP-48-Flowerplate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;2;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48full;1;10;1.00;100.00;100.00;;;SET TEMPERATURE [°C];30.00
 2;Biomass;620;620;48full;1;20;1.00;100.00;100.00;;;SET HUMIDITY [rH];95.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];500.00
;;;;;;;;;;;;SET CYCLE TIME [min];7
;;;;;;;;;;;;SET EXP TIME [h];-218790464

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
K;;;;;0.00494;;;;;;;Open Cover, SWITCH SETPOINT:Freq.=500, ;
R;;;;1;0.00514;61.38;0.0;24.50;42.80;20.33;0.00;test measure for referencing with gain 14 
C1;A01;X1;;1;0.00841;139.43;0.0;25.00;45.06;20.40;0.00; 
C1;A02;X2;;1;0.00931;111.18;0.0;25.20;45.77;20.40;0.00;
C1;A03;X3;;1;0.01021;20.97;0.0;25.30;46.16;20.32;0.00;
C1;A04;X4;;1;0.01110;17.07;0.0;25.40;46.87;20.38;0.00;
C1;A05;X5;;1;0.01207;5.31;0.0;25.60;47.52;20.40;0.00;
C1;A06;X6;;1;0.01296;4.91;0.0;25.70;47.85;20.33;0.00;
C1;A07;X7;;1;0.01386;9.99;0.0;25.90;48.50;20.39;0.00;
C1;A08;X8;;1;0.01477;6.18;0.0;26.00;48.85;20.33;0.00;
C1;B08;X16;;1;0.01569;12.08;0.0;26.10;49.41;20.39;0.00;
C1;B07;X15;;1;0.01663;3.51;0.0;26.20;50.00;20.33;0.00;
C1;B06;X14;;1;0.01753;9.56;0.0;26.40;50.32;20.31;0.00;
C1;B05;X13;;1;0.01841;6.54;0.0;26.40;50.84;20.32;0.00;
C1;B04;X12;;1;0.01932;12.60;0.0;26.50;51.35;20.31;0.00;
C1;B03;X11;;1;0.02022;12.58;0.0;26.70;51.69;20.33;0.00;
C1;B02;X10;;1;0.02112;62.58;0.0;26.70;52.14;20.33;0.00;
C1;B01;X9;;1;0.02209;79.16;0.0;26.90;52.55;20.32;0.00;
C1;C01;X17;;1;0.02300;45.09;0.0;26.90;53.17;20.30;0.00;
C1;C02;X18;;1;0.02392;31.97;0.0;27.00;53.63;20.30;0.00;
C1;C03;X19;;1;0.02482;9.92;0.0;27.10;53.89;20.30;0.00;
C1;C04;X20;;1;0.02577;12.58;0.0;27.20;54.34;20.23;0.00;
C1;C05;X21;;1;0.02667;3.97;0.0;27.30;54.72;20.31;0.00;
C1;C06;X22;;1;0.02757;3.84;0.0;27.40;54.93;20.30;0.00;
C1;C07;X23;;1;0.02847;11.76;0.0;27.50;55.38;20.23;0.00;
C1;C08;X24;;1;0.02936;2.45;0.0;27.60;55.58;20.29;0.00;
C1;D08;X32;;1;0.03037;3.49;0.0;27.70;55.90;20.29;0.00;
C1;D07;X31;;1;0.03126;4.70;0.0;27.70;56.29;20.22;0.00;
C1;D06;X30;;1;0.03216;3.69;0.0;27.90;56.48;20.22;0.00;
C1;D05;X29;;1;0.03309;7.32;0.0;27.90;56.87;20.21;0.00;
C1;D04;X28;;1;0.03404;5.48;0.0;28.00;57.14;20.21;0.00;
C1;D03;X27;;1;0.03496;6.14;0.0;28.10;57.33;20.20;0.00;
C1;D02;X26;;1;0.03588;19.74;0.0;28.20;57.65;20.22;0.00;
C1;D01;X25;;1;0.03688;25.11;0.0;28.30;57.97;20.21;0.00;
C1;E01;X33;;1;0.03781;15.42;0.0;28.40;58.09;20.21;0.00;
C1;E02;X34;;1;0.03873;13.13;0.0;28.50;58.43;20.21;0.00;
C1;E03;X35;;1;0.03967;4.98;0.0;28.50;58.82;20.19;0.00;
C1;E04;X36;;1;0.04059;3.24;0.0;28.60;58.95;20.20;0.00;
C1;E05;X37;;1;0.04148;11.52;0.0;28.70;59.14;20.19;0.00;
C1;E06;X38;;1;0.04239;4.10;0.0;28.80;59.40;20.20;0.00;
C1;E07;X39;;1;0.04328;2.00;0.0;28.90;59.54;20.20;0.00;
C1;E08;X40;;1;0.04427;3.76;0.0;29.00;59.79;20.20;0.00;
C1;F08;X48;;1;0.04520;3.39;0.0;29.10;59.91;20.20;0.00;
C1;F07;X47;;1;0.04612;9.10;0.0;29.20;60.11;20.19;0.00;
C1;F06;X46;;1;0.04705;4.86;0.0;29.20;60.31;20.18;0.00;
C1;F05;X45;;1;0.04798;5.23;0.0;29.40;60.37;20.18;0.00;
C1;F04;X44;;1;0.04888;4.50;0.0;29.40;60.57;20.19;0.00;
C1;F03;X43;;1;0.04976;4.34;0.0;29.50;60.76;20.19;0.00;
C1;F02;X42;;1;0.05067;8.01;0.0;29.60;60.82;20.20;0.00;
C1;F01;X41;;1;0.05166;6.74;0.0;29.70;60.89;20.19;0.00;
R;;;;2;0.05593;61.01;0.0;30.00;61.53;20.12;0.00;test measure for referencing with gain 14 
C1;A01;X1;;2;0.05996;533.54;0.0;30.40;61.79;20.18;0.00;
C1;A02;X2;;2;0.06086;424.68;0.0;30.50;61.92;20.11;0.00;
C1;A03;X3;;2;0.06176;80.12;0.0;30.50;61.85;20.11;0.00;
C1;A04;X4;;2;0.06265;65.18;0.0;30.70;61.95;20.12;0.00;
C1;A05;X5;;2;0.06365;21.51;0.0;30.70;61.98;20.10;0.00;
C1;A06;X6;;2;0.06456;19.92;0.0;30.80;61.92;20.10;0.00;
C1;A07;X7;;2;0.06545;39.16;0.0;30.90;61.96;20.11;0.00;
C1;A08;X8;;2;0.06635;14.73;0.0;31.00;61.79;20.09;0.00;
C1;B08;X16;;2;0.06733;43.50;0.0;31.00;61.59;20.11;0.00;
C1;B07;X15;;2;0.06825;15.66;0.0;31.10;61.47;20.10;0.00;
C1;B06;X14;;2;0.06915;37.06;0.0;31.20;61.34;20.09;0.00;
C1;B05;X13;;2;0.07004;24.85;0.0;31.20;61.23;20.11;0.00;
C1;B04;X12;;2;0.07101;49.55;0.0;31.30;61.01;20.10;0.00;
C1;B03;X11;;2;0.07191;51.84;0.0;31.40;60.82;20.11;0.00;
C1;B02;X10;;2;0.07281;240.42;0.0;31.40;60.88;20.11;0.00;
C1;B01;X9;;2;0.07370;304.11;0.0;31.50;60.64;20.10;0.00;
C1;C01;X17;;2;0.07469;173.03;0.0;31.50;60.43;20.11;0.00;
C1;C02;X18;;2;0.07559;122.64;0.0;31.60;60.43;20.10;0.00;
C1;C03;X19;;2;0.07651;37.76;0.0;31.70;60.24;20.10;0.00;
C1;C04;X20;;2;0.07740;47.35;0.0;31.70;60.12;20.11;0.00;
C1;C05;X21;;2;0.07830;15.09;0.0;31.80;60.11;20.09;0.00;
C1;C06;X22;;2;0.07926;16.50;0.0;31.80;59.98;20.11;0.00;
C1;C07;X23;;2;0.08016;39.42;0.0;31.90;59.94;20.11;0.00;
C1;C08;X24;;2;0.08105;12.91;0.0;31.90;59.85;20.10;0.00;
C1;D08;X32;;2;0.08199;15.80;0.0;31.90;59.78;20.10;0.00;
C1;D07;X31;;2;0.08294;14.29;0.0;32.00;59.86;20.10;0.00;
C1;D06;X30;;2;0.08382;16.22;0.0;32.00;59.73;20.10;0.00;
C1;D05;X29;;2;0.08472;19.18;0.0;32.00;59.73;20.11;0.00;
C1;D04;X28;;2;0.08562;22.39;0.0;32.00;59.73;20.09;0.00;
C1;D03;X27;;2;0.08652;24.52;0.0;32.00;59.72;20.09;0.00;
C1;D02;X26;;2;0.08743;76.43;0.0;32.10;59.67;20.10;0.00;
C1;D01;X25;;2;0.08833;97.49;0.0;32.10;59.59;20.10;0.00;
C1;E01;X33;;2;0.08928;58.57;0.0;32.20;59.58;20.09;0.00;
C1;E02;X34;;2;0.09018;50.99;0.0;32.20;59.59;20.10;0.00;
C1;E03;X35;;2;0.09117;20.65;0.0;32.20;59.59;20.10;0.00;
C1;E04;X36;;2;0.09207;13.14;0.0;32.20;59.53;20.10;0.00;
